#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Backfield,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
505,"2025 UAB O vs UConn, PFF Play 021",21,1,2,9,'+21,2,,,1,9,0.0,P,R,12,ACE YU OFF,SNUG,Y MTR,,,,X,OFF,,INTERCEPTION,PSTL,JET SWEEP,STR,DB,,WIDE OVER,4 DOWN,STUNT,BLITZ,COVER 1,,ALBI 08,ALBI 07,03,17; 88,08; 18,0,12,P,9,R,1.0,,0,0.0,,,,,0,0,0,0,0,,ALBI 07,03,08; 18,17; 88,WIDE OVER,2x2,0,R,ALBI 08,1,COVER 1
506,"2025 UAB O vs UConn, PFF Play 034",34,1,1,10,'-25,P,,,2,1,1.0,R,L,12,ACE YU OFF,,,,,,X,OFF,,,PSTL,INSIDE ZN RD,STR,ZN,GAP,BENCH,4 DOWN,,,COVER 3,,ALBI 04,ALBI 07,04,17; 85,01; 18,0,12,R,1,L,,1.0,0,,,MAN,,,0,0,0,0,0,ALBI 04,ALBI 07,04,01; 18,17; 85,WIDE UNDER,2x2,1,P,,0,COVER 3
507,"2025 UAB O vs UConn, PFF Play 035",35,1,2,9,'-26,2,,,2,2,2.0,P,M,11,TRIPS,,,,,,,ON,,COMPLETE,GN,Y INSERT,STR,DB,,WIDE OVER,4 DOWN,,BLITZ,COVER 6,,ALBI 00,ALBI 07,04,85,00; 06; 18,1,11,P,2,C,1.0,2.0,1,0.0,,INSIDE ZONE,,,0,0,1,0,0,ALBI 00,ALBI 07,04,00; 06; 18,85,WIDE OVER,3x1,1,R,ALBI 00,1,COVER 6
508,"2025 UAB O vs UConn, PFF Play 036",36,2,3,7,'-28,3,,,2,3,0.0,P,R,11,TRIPS - OPEN,Y AT 2,,,X,,X,OPEN,,INCOMPLETE,GF,JET SWEEP,STR,DB,,ODD,4 DOWN,STUNT,BLITZ,COVER 1,,ALBI 85,ALBI 07,04,85,01; 05; 06,0,11,P,3,R,2.0,,0,0.0,,,,,0,0,0,0,0,,ALBI 07,04,01; 05; 06,85,ODD,1x3,0,P,ALBI 85,1,COVER 1
509,"2025 UAB O vs UConn, PFF Play 051",51,2,1,10,'-25,P,,,3,1,0.0,P,R,11,DUO Y OFF,STK/SNUG,BUZZ,,,,X,OFF,,INTERCEPTION,GF,Y INSERT,STR,PA,,WIDE OVER,4 DOWN,,,COVER 3,,ALBI 06,ALBI 15,11,88,00; 01; 06,0,11,P,1,R,,,0,0.0,,INSIDE ZONE,,,0,0,0,0,0,,ALBI 15,11,00; 01; 06,88,WIDE OVER,2x2,1,P,ALBI 06,0,COVER 3
510,"2025 UAB O vs UConn, PFF Play 057",57,2,1,10,'-25,P,,,4,1,2.0,R,R,12,TREY U HIP,,H IN,,,,,PRO,,,PSTL,OUTSIDE ZN,STR,ZN,GAP,WIDE OVER,4 DOWN,,BLITZ,COVER 3,,ALBI 11,ALBI 15,11,17; 85,01; 05,0,12,R,1,R,,2.0,0,,,OUTSIDE ZONE,,,0,0,0,0,0,ALBI 11,ALBI 15,11,01; 05,17; 85,WIDE OVER,3x1,1,P,,1,COVER 3
511,"2025 UAB O vs UConn, PFF Play 058",58,2,2,8,'-27,2,,,4,2,8.0,P,R,11,EMPTY 3x2,,,,X,,X,OPEN,,RUN,GEMP,JET SWEEP,STR,DB,,ODD,4 DOWN,,,COVER 4,,ALBI 15,ALBI 15,11,85,00; 01; 06,0,11,P,2,R,2.0,8.0,0,0.0,,,,,0,0,0,0,0,ALBI 15,ALBI 15,11,00; 01; 06,85,ODD,2x3,0,R,,0,COVER 4
512,"2025 UAB O vs UConn, PFF Play 059",59,2,1,10,'-35,P,,,4,3,0.0,P,M,30,SLOT - OPEN,SNUG,TOZ,,X,,,OFF,,COMPLETE,,INSIDE ZN RD,STR,PA,,EVEN,4 DOWN,STUNT,,COVER 3,,ALBI 03,ALBI 16,03; 04; 11,,05; 18,0,30,P,3,C,8.0,0.0,0,0.0,,MAN,,,0,0,0,0,0,ALBI 03,ALBI 16,03; 04; 11,05; 18,,EVEN,1x2,1,P,ALBI 03,0,COVER 3
513,"2025 UAB O vs UConn, PFF Play 060",60,2,2,10,'-35,2,,,4,4,-16.0,P,L,20,TRIPS - OPEN,STK,,,X,,X,OPEN,,SACK,GF,JET SWEEP,STR,DB,,BENCH,4 DOWN,STUNT,,COVER 4,,ALBI 15,ALBI 15,03; 11,,00; 01; 05,0,20,P,4,L,0.0,-16.0,0,0.0,,,(D) ALBI 77 OH,,0,0,0,0,0,ALBI 15,ALBI 15,03; 11,00; 01; 05,,WIDE UNDER,3x1,0,P,,0,COVER 4
514,"2025 UAB O vs UConn, PFF Play 061",61,2,3,26,'-19,3,,,4,5,-14.0,R,M,11,TREY Y OFF,SNUG,,,X,X,X,OFF,CURLS,,GN,,,ZN,GAP,SPLIT,4 DOWN,,,COVER 3,,ALBI 15,ALBI 15,04,85,00; 01; 06,0,11,R,5,C,-16.0,-14.0,0,,,UNDEFINED,,,0,0,0,0,0,ALBI 15,ALBI 15,04,00; 01; 06,85,NO INTERIOR,1x3,0,P,,0,COVER 3
515,"2025 UAB O vs UConn, PFF Play 068",68,2,1,10,'-25,P,,,5,1,13.0,R,R,12,KING U OFF,,,,,,,SLOT,,,GN,SPL ZN SS,ZN,ZN,GAP,BENCH,4 DOWN,,,COVER 3,,ALBI 04,ALBI 15,04,17; 88,01; 05,0,12,R,1,R,-14.0,13.0,0,,,INSIDE ZONE,ALBI 75 OH,,0,0,0,0,0,ALBI 04,ALBI 15,04,01; 05,17; 88,WIDE UNDER,3x1,1,R,,0,COVER 3
516,"2025 UAB O vs UConn, PFF Play 069",69,2,1,20,'-15,1,,,5,2,12.0,P,R,11,DUO Y OFF,SNUG,,,,,X,OFF,,RUN,PSTL,Y INSERT,,PA,,ODD,4 DOWN,STUNT,,COVER 6,,ALBI 15,ALBI 15,04,85,00; 01; 06,0,11,P,2,R,13.0,12.0,0,0.0,,MAN,,,0,0,0,0,0,ALBI 15,ALBI 15,04,00; 01; 06,85,ODD,2x2,0,R,,0,COVER 6
517,"2025 UAB O vs UConn, PFF Play 070",70,2,2,8,'-27,2,,,5,3,7.0,P,R,11,DUO Y OFF,STK/SNUG,BUZZ,,,,X,OFF,,COMPLETE,GF,JET SWEEP,STR,DB,,ODD,4 DOWN,STUNT,,COVER 6,,ALBI 06,ALBI 15,04,85,00; 01; 06,0,11,P,3,R,12.0,7.0,0,0.0,,,,,0,0,0,0,0,ALBI 06,ALBI 15,04,00; 01; 06,85,ODD,2x2,0,P,ALBI 06,0,COVER 6
518,"2025 UAB O vs UConn, PFF Play 071",71,2,3,1,'-34,3,SY,,5,4,10.0,R,L,12,TREY Y OFF,SNUG,,,X,X,X,OFF,CURLS,,,Q POWER G LD,STR,GAP,GAP,EVEN,4 DOWN,,,COVER 3,,ALBI 04,ALBI 15,04,17; 85,06; 18,0,12,R,4,L,7.0,10.0,0,,,PULL LEAD,,,0,0,0,0,0,ALBI 04,ALBI 15,04,06; 18,17; 85,EVEN,1x3,0,P,,0,COVER 3
519,"2025 UAB O vs UConn, PFF Play 072",72,2,1,10,'-44,P,,,5,5,10.0,R,L,11,DUO Y OFF,SNUG,Z MTR,,,,X,OFF,,,PSTL,INSIDE ZN RD,STR,ZN,GAP,ODD,4 DOWN,STUNT,,COVER 2,,ALBI 04,ALBI 15,04,17,05; 06; 18,0,11,R,5,L,10.0,10.0,0,,,MAN,,,0,0,0,2,0,ALBI 04,ALBI 15,04,05; 06; 18,17,ODD,2x2,1,R,,0,COVER 2
520,"2025 UAB O vs UConn, PFF Play 073",73,2,1,10,'+46,P,,,5,6,3.0,P,L,11,DUO Y OFF,SNUG,,,,,X,OFF,,RUN,GN,JET SWEEP,STR,DB,,EVEN,4 DOWN,STUNT,BLITZ,COVER 4,,ALBI 15,ALBI 15,03,17,00; 01; 06,1,11,P,6,L,10.0,3.0,0,0.0,,,,,0,0,1,2,0,ALBI 15,ALBI 15,03,00; 01; 06,17,EVEN,2x2,0,R,,1,COVER 4
521,"2025 UAB O vs UConn, PFF Play 074",74,2,2,7,'+43,2,,,5,7,6.0,R,L,11,DUO Y OFF,SNUG,,,,,X,OFF,CURLS,,GN,SPL ZN SS,ZN,ZN,GAP,WIDE OVER,4 DOWN,,BLITZ,COVER 1,,ALBI 03,ALBI 15,03,17,00; 01; 06,0,11,R,7,L,3.0,6.0,0,,,INSIDE ZONE,,,0,0,0,2,0,ALBI 03,ALBI 15,03,00; 01; 06,17,WIDE OVER,2x2,0,P,,1,COVER 1
522,"2025 UAB O vs UConn, PFF Play 075",75,2,3,1,'+37,3,SY,,5,8,5.0,R,M,11,DUO Y OFF,SNUG,Z IN,,,,X,OFF,CURLS,,PSTL,Y INSERT,STR,ZN,GAP,ODD,4 DOWN,,,COVER 1,,ALBI 03,ALBI 15,03,17,00; 01; 06,1,11,R,8,C,6.0,5.0,0,,,MAN,,,0,0,1,2,0,ALBI 03,ALBI 15,03,00; 01; 06,17,ODD,2x2,0,R,,0,COVER 1
523,"2025 UAB O vs UConn, PFF Play 076",76,2,1,10,'+32,P,,,5,9,13.0,P,M,11,DUO Y OFF,SNUG,,,,,X,OFF,,RUN,GN,JET SWEEP,STR,DB,,WIDE OVER,4 DOWN,STUNT,BLITZ,COVER 4,,ALBI 15,ALBI 15,03,17,00; 01; 06,0,11,P,9,C,5.0,13.0,0,0.0,,,,,0,0,0,2,0,ALBI 15,ALBI 15,03,00; 01; 06,17,WIDE OVER,2x2,0,R,,1,COVER 4
524,"2025 UAB O vs UConn, PFF Play 077",77,2,1,10,'+19,P,,RA,5,10,0.0,P,L,11,TRIPS,,,,,,,ON,,INCOMPLETE,GN,JET SWEEP,STR,DB,,LOAD,4 DOWN,STUNT,,COVER 4,,ALBI 01,ALBI 15,03,17,00; 01; 06,0,11,P,10,L,13.0,,0,0.0,,,,,0,0,0,2,0,,ALBI 15,03,00; 01; 06,17,LOAD,3x1,0,P,ALBI 01,0,COVER 4
