number,name,position,filename,official_source_url,supabase_public_url
86,Vili Haapasalo,TE,vili-haapasalo.png,https://ss-dummy-data.s3.us-east-1.amazonaws.com/images/person-default.png,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/vili-haapasalo.png
87,Sean Persson,TE,sean-persson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Persson_Sean_DMG8M.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/sean-persson.jpg
88,Braden Teague,TE,braden-teague.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Teague_Braden_hLAoU.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/braden-teague.jpg
0,Ty Mims,WR,ty-mims.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Mims_Ty_vJ9JO.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/ty-mims.jpg
1,CJ Smith,WR,cj-smith.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/CJ_MpaHI.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/cj-smith.jpg
4,EJ Reid,WR,ej-reid.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/EJ_Reid_cx5Hc.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/ej-reid.jpg
6,KJ Daniels,WR,kj-daniels.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/4/15/060A8054_eiXFY.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/kj-daniels.jpg
8,Kaleb Brown,WR,kaleb-brown.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/2/20/Brown_Kaleb.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/kaleb-brown.jpg
9,AJ Johnson,WR,aj-johnson.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/A_Johnson_vhwQy.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/aj-johnson.jpg
12,Jaylen Elder,WR,jaylen-elder.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/6/11/Elder_Jaylen.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jaylen-elder.jpg
13,Carson Gill,WR,carson-gill.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/8/20/Gill_CD.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/carson-gill.jpg
14,Jailen Holmes,WR,jailen-holmes.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/7/10/Holmes_Jailen.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jailen-holmes.jpg
15,Jayden Skelton,WR,jayden-skelton.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Skelton_Jayden_s3j3c.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jayden-skelton.jpg
17,Brogan McNab,WR,brogan-mcnab.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Brogan._sty3t.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/brogan-mcnab.jpg
80,Malik Muhammad,WR,malik-muhammad.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2024/3/6/Muhammad_Malik.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/malik-muhammad.jpg
81,Bradley Wainwright,WR,bradley-wainwright.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/7/Wainwright_Bradley_IBjD8.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/bradley-wainwright.jpg
83,Levi Brayton,WR,levi-brayton.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/8/20/Brayton_Levi.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/levi-brayton.jpg
84,Lamar White Jr,WR,lamar-white-jr.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/9/4/060A1519.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/lamar-white-jr.jpg
51,Payton Kirkland,OL,payton-kirkland.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Kirkland_Payton_gDAjS.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/payton-kirkland.jpg
52,Hudson Reed,OL,hudson-reed.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Hudson_Reed_dzcfE.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/hudson-reed.jpg
55,Barrett Maddox,OL,barrett-maddox.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Barrett_Maddox_nLH2H.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/barrett-maddox.jpg
57,Aidan Platt,OL,aidan-platt.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/6/11/Platt_Aidan.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/aidan-platt.jpg
59,Jaden Ligon,OL,jaden-ligon.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2024/6/13/Ligon_Jaden.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/jaden-ligon.jpg
64,Cooper Young,OL,cooper-young.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Cooper_55pfk.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/cooper-young.jpg
66,Donovan Lawrence,OL,donovan-lawrence.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/6/11/Lawrence_Donovan.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/donovan-lawrence.jpg
