#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Backfield,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
580,"2508 Mississippi State O vs Texas, PFF Play 150",150,3,2,2,'+2,2,GL,RA,12,8,-2,R,L,11,TREY Y OFF,,,,,,,OFF,,,GN,,,ZN,,DBL PLUG,4 DOWN,,,COVER 0,,MSST 06,MSST 02,06,08,00; 03; 04,0,11,R,8,L,0,-2,0,,,MAN,,,0,0,0,0,0,MSST 06,MSST 02,06,00; 03; 04,08,DOUBLE PLUG,3x1,0,R,,1,COVER 0
581,"2508 Mississippi State O vs Texas, PFF Play 151",151,3,3,4,'+4,3,GL,RA,12,9,4,P,R,11,SLOT - OPEN,,,,,,,OFF,,COMPLETE,GF,,,DB,,BENCH,4 DOWN,,,RED ZONE,,MSST 00,MSST 02,06,08,00; 03; 04,0,11,P,9,R,-2,4,0,0,,,,MSST 00,0,0,0,0,0,MSST 00,MSST 02,06,00; 03; 04,08,WIDE UNDER,2x1,0,R,MSST 00,0,RED ZONE
582,"2508 Mississippi State O vs Texas, PFF Play 164",164,4,0,10,'-25,P,,,13,1,8,P,R,11,DOUBLES,,,,,,,OPEN,BUBBLE SCR,COMPLETE,GN,,,DB,,WIDE OVER,4 DOWN,,,COVER 1,,MSST 08,MSST 02,06,08,00; 03; 11,0,11,P,1,R,4,8,1,0,,PULL LEAD,,,0,0,0,0,0,MSST 08,MSST 02,06,00; 03; 11,08,WIDE OVER,2x2,1,P,MSST 08,1,COVER 1
583,"2508 Mississippi State O vs Texas, PFF Play 165",165,4,2,2,'-33,2,,,13,2,5,P,R,11,DOUBLES,,,,,,,OPEN,,COMPLETE,GF,,,PA,,EVEN,4 DOWN,,,COVER 3,,MSST 03,MSST 02,06,08,00; 03; 11,1,11,P,2,R,8,5,0,0,,INSIDE ZONE,,,0,0,1,0,0,MSST 03,MSST 02,06,00; 03; 11,08,EVEN,2x2,1,P,MSST 03,1,COVER 3
584,"2508 Mississippi State O vs Texas, PFF Play 166",166,4,1,10,'-38,1,,,13,3,62,P,L,11,DOUBLES,,,,,,,OPEN,,COMPLETE,GN,,,PA,,WIDE OVER,4 DOWN,,,COVER 2,,MSST 06,MSST 02,06,08,00; 03; 11,1,11,P,3,L,5,62,0,0,,UNDEFINED,,MSST 06,0,0,1,0,0,MSST 06,MSST 02,06,00; 03; 11,08,WIDE OVER,2x2,0,P,MSST 06,0,COVER 2
585,"2508 Mississippi State O vs Texas, PFF Play 181",181,4,0,10,'-25,P,,,14,1,1,R,R,11,DOUBLES,,,,,,,OPEN,,,GF,,,ZN,,ODD,4 DOWN,,,COVER 3,,MSST 06,MSST 02,06,08,00; 03; 11,0,11,R,1,R,62,1,0,,,OUTSIDE ZONE,,,0,0,0,0,0,MSST 06,MSST 02,06,00; 03; 11,08,ODD,2x2,1,P,,0,COVER 3
586,"2508 Mississippi State O vs Texas, PFF Play 182",182,4,2,9,'-26,2,,,14,2,-3,P,R,11,DUO Y OFF,,,,,,,OFF,,SACK,GF,,,PA,,WIDE OVER,4 DOWN,,,COVER 3,,MSST 02,MSST 02,06,08,00; 03; 11,1,11,P,2,R,1,-3,0,0,,UNDEFINED,(D) MSST 06 OH,,0,0,1,0,0,MSST 02,MSST 02,06,00; 03; 11,08,WIDE OVER,2x2,0,R,,1,COVER 3
587,"2508 Mississippi State O vs Texas, PFF Play 183",183,4,3,12,'-23,3,,,14,3,-7,P,R,11,DUO Y OFF,,,,,,,OFF,,SACK,GF,,,DB,,EVEN,4 DOWN,,,COVER 3,,MSST 02,MSST 02,06,08,00; 03; 11,0,11,P,3,R,-3,-7,0,0,,,,,0,0,0,0,0,MSST 02,MSST 02,06,00; 03; 11,08,EVEN,2x2,0,P,,1,COVER 3
588,"2508 Mississippi State O vs Texas, PFF Play 199",199,4,0,10,'-13,P,,,15,1,4,R,L,11,TRIPS - OPEN,,,,,,,,,,GN,,STR,ZN,,ODD,4 DOWN,,,COVER 3,,MSST 06,MSST 02,06,08,00; 03; 11,0,11,R,1,L,-7,4,0,,,INSIDE ZONE,,,0,0,0,0,0,MSST 06,MSST 02,06,00; 03; 11,08,ODD,3x1,1,P,,0,COVER 3
589,"2508 Mississippi State O vs Texas, PFF Play 200",200,4,2,6,'-17,2,,,15,2,5,P,L,11,TRIPS - OPEN,,,,,,,,,COMPLETE,GF,,,QK,,WIDE OVER,4 DOWN,,,COVER 3,,MSST 00,MSST 02,06,08,00; 03; 11,0,11,P,2,L,4,5,0,1,,INSIDE ZONE,,,0,0,0,0,0,MSST 00,MSST 02,06,00; 03; 11,08,WIDE OVER,3x1,1,R,MSST 00,1,COVER 3
